             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
             22.4641             52.7900      0.73455383E+06      0.45005059E+06
             22.5380             56.5163      0.73455705E+06      0.45005042E+06
             22.6119             60.2426      0.73441796E+06      0.45007911E+06
             22.6858             63.9689      0.73450511E+06      0.45007903E+06
             22.7597             67.6952      0.73450637E+06      0.45007891E+06
             22.8336             71.4215      0.73450302E+06      0.45007879E+06
             22.9075             75.1477      0.73450215E+06      0.45007858E+06
             22.9814             78.8740      0.73450288E+06      0.45007842E+06
             23.0553             82.6003      0.73450532E+06      0.45007819E+06
             23.1292             86.3266      0.73451181E+06      0.45007793E+06
             23.2031             90.0529      0.73450050E+06      0.45007776E+06
             23.2770             93.7791      0.73445928E+06      0.45005111E+06
             23.3508             97.5054      0.73445848E+06      0.45005109E+06
             23.4247            101.2317      0.73443655E+06      0.45005109E+06
             23.4986            104.9580      0.73443905E+06      0.45005107E+06
             23.5725            108.6843      0.73444200E+06      0.45005105E+06
             23.6464            112.4106      0.73444605E+06      0.45005132E+06
             23.7203            116.1368      0.73445068E+06      0.45005156E+06
             23.7942            119.8631      0.73445598E+06      0.45005178E+06
             23.8681            123.5894      0.73446161E+06      0.45005197E+06
             23.9420            127.3157      0.73446749E+06      0.45005211E+06
             24.0159            131.0420      0.73447342E+06      0.45005221E+06
             24.0898            134.7683      0.73447952E+06      0.45005228E+06
             24.1637            138.4945      0.73451676E+06      0.45005227E+06
             24.2376            142.2208      0.73452093E+06      0.45005223E+06
             24.3115            145.9471      0.73452471E+06      0.45005213E+06
             24.3854            149.6734      0.73452778E+06      0.45005209E+06
             24.4593            153.3997      0.73454543E+06      0.45005176E+06
             24.5332            157.1260      0.73454376E+06      0.45005150E+06
             24.6071            160.8522      0.73454320E+06      0.45005116E+06
             24.6810            164.5785      0.73454919E+06      0.45005100E+06
             24.7549            168.3048      0.73453869E+06      0.45005087E+06
             24.8287            172.0311      0.73455325E+06      0.45005064E+06
             24.9026            175.7574      0.73455623E+06      0.45005044E+06
             24.9765            179.4837      0.73449850E+06      0.45007921E+06
             25.0504            183.2099      0.73442018E+06      0.45007905E+06
             25.1243            186.9362      0.73450577E+06      0.45007893E+06
             25.1982            190.6625      0.73450212E+06      0.45007882E+06
             25.2721            194.3888      0.73449595E+06      0.45007866E+06
             25.3460            198.1151      0.73450269E+06      0.45007845E+06
             25.4199            201.8414      0.73450425E+06      0.45007823E+06
             25.4938            205.5676      0.73450807E+06      0.45007802E+06
             25.5677            209.2939      0.73452005E+06      0.45007776E+06
             25.6416            213.0202      0.73445940E+06      0.45005114E+06
             25.7155            216.7465      0.73445871E+06      0.45005108E+06
             25.7894            220.4728      0.73443609E+06      0.45005109E+06
             25.8633            224.1991      0.73443851E+06      0.45005107E+06
             25.9372            227.9253      0.73444131E+06      0.45005103E+06
             26.0111            231.6516      0.73444513E+06      0.45005126E+06
             26.0850            235.3779      0.73444964E+06      0.45005151E+06
             26.1589            239.1042      0.73445481E+06      0.45005173E+06
             26.2328            242.8305      0.73446043E+06      0.45005193E+06
             26.3066            246.5568      0.73446626E+06      0.45005208E+06
             26.3805            250.2830      0.73447216E+06      0.45005219E+06
             26.4544            254.0093      0.73447824E+06      0.45005226E+06
             26.5283            257.7356      0.73451594E+06      0.45005227E+06
             26.6022            261.4619      0.73451990E+06      0.45005224E+06
             26.6761            265.1882      0.73452410E+06      0.45005215E+06
             26.7500            268.9145      0.73452605E+06      0.45005196E+06
             26.8239            272.6407      0.73454264E+06      0.45005182E+06
             26.8978            276.3670      0.73454437E+06      0.45005154E+06
             26.9717            280.0933      0.73454306E+06      0.45005123E+06
             27.0456            283.8196      0.73454988E+06      0.45005102E+06
             27.1195            287.5459      0.73453987E+06      0.45005090E+06
             27.1934            291.2721      0.73453571E+06      0.45005070E+06
             27.2673            294.9984      0.73455547E+06      0.45005046E+06
             27.3412            298.7247      0.73449850E+06      0.45007923E+06
             27.4151            302.4510      0.73441962E+06      0.45007906E+06
             27.4890            306.1773      0.73450542E+06      0.45007895E+06
             27.5629            309.9036      0.73449167E+06      0.45007884E+06
             27.6368            313.6298      0.73449544E+06      0.45007869E+06
             27.7107            317.3561      0.73450246E+06      0.45007848E+06
             27.7846            321.0824      0.73450341E+06      0.45007828E+06
             27.8584            324.8087      0.73450336E+06      0.45007811E+06
             27.9323            328.5350      0.73451414E+06      0.45007778E+06
             28.0062            332.2613      0.73450081E+06      0.45007752E+06
             28.0801            335.9875      0.73445907E+06      0.45005108E+06
             28.1540            339.7138      0.73442580E+06      0.45005106E+06
             28.2279            343.4401      0.73443801E+06      0.45005107E+06
             28.3018            347.1664      0.73444065E+06      0.45005103E+06
             28.3757            350.8927      0.73444426E+06      0.45005120E+06
             28.4496            354.6190      0.73444863E+06      0.45005145E+06
             28.5235            358.3452      0.73445368E+06      0.45005168E+06
             28.5974              2.0715      0.73445936E+06      0.45005189E+06
             28.6713              5.7978      0.73446501E+06      0.45005205E+06
             28.7452              9.5241      0.73447093E+06      0.45005217E+06
             28.8191             13.2504      0.73447697E+06      0.45005224E+06
             28.8930             16.9767      0.73451525E+06      0.45005226E+06
             28.9669             20.7029      0.73451889E+06      0.45005224E+06
             29.0408             24.4292      0.73452350E+06      0.45005216E+06
             29.1147             28.1555      0.73452601E+06      0.45005204E+06
             29.1886             31.8818      0.73454192E+06      0.45005187E+06
             29.2625             35.6081      0.73453662E+06      0.45005173E+06
             29.3363             39.3344      0.73454289E+06      0.45005131E+06
             29.4102             43.0606      0.73455064E+06      0.45005105E+06
             29.4841             46.7869      0.73454086E+06      0.45005093E+06
             29.5580             50.5132      0.73453609E+06      0.45005074E+06
             29.6319             54.2395      0.73455479E+06      0.45005049E+06
             29.7058             57.9658      0.73455879E+06      0.45005034E+06
             29.7797             61.6921      0.73441919E+06      0.45007906E+06
             29.8536             65.4183      0.73450517E+06      0.45007897E+06
             29.9275             69.1446      0.73449060E+06      0.45007886E+06
             30.0014             72.8709      0.73449499E+06      0.45007872E+06
             30.0753             76.5972      0.73450220E+06      0.45007850E+06
             30.1492             80.3235      0.73450315E+06      0.45007832E+06
             30.2231             84.0498      0.73451472E+06      0.45007799E+06
             30.2970             87.7760      0.73451308E+06      0.45007779E+06
             30.3709             91.5023      0.73450017E+06      0.45007752E+06
             30.4448             95.2286      0.73445907E+06      0.45005108E+06
             30.5187             98.9549      0.73445811E+06      0.45005105E+06
             30.5926            102.6812      0.73443743E+06      0.45005107E+06
             30.6665            106.4075      0.73444003E+06      0.45005104E+06
             30.7404            110.1337      0.73444341E+06      0.45005114E+06
             30.8143            113.8600      0.73444765E+06      0.45005140E+06
             30.8881            117.5863      0.73445259E+06      0.45005163E+06
             30.9620            121.3126      0.73445809E+06      0.45005183E+06
             31.0359            125.0389      0.73446377E+06      0.45005201E+06
             31.1098            128.7651      0.73446971E+06      0.45005214E+06
             31.1837            132.4914      0.73447570E+06      0.45005223E+06
             31.2576            136.2177      0.73451476E+06      0.45005226E+06
             31.3315            139.9440      0.73451835E+06      0.45005225E+06
             31.4054            143.6703      0.73452273E+06      0.45005218E+06
             31.4793            147.3966      0.73452559E+06      0.45005207E+06
             31.5532            151.1228      0.73454483E+06      0.45005191E+06
             31.6271            154.8491      0.73454095E+06      0.45005173E+06
             31.7010            158.5754      0.73454290E+06      0.45005137E+06
             31.7749            162.3017      0.73455144E+06      0.45005107E+06
             31.8488            166.0280      0.73454192E+06      0.45005096E+06
             31.9227            169.7543      0.73453680E+06      0.45005078E+06
             31.9966            173.4805      0.73455414E+06      0.45005051E+06
             32.0705            177.2068      0.73455777E+06      0.45005037E+06
             32.1444            180.9331      0.73441865E+06      0.45007907E+06
             32.2183            184.6594      0.73450502E+06      0.45007899E+06
             32.2922            188.3857      0.73448977E+06      0.45007888E+06
             32.3660            192.1120      0.73450401E+06      0.45007874E+06
             32.4399            195.8382      0.73450205E+06      0.45007853E+06
             32.5138            199.5645      0.73450293E+06      0.45007836E+06
             32.5877            203.2908      0.73451012E+06      0.45007809E+06
             32.6616            207.0171      0.73451221E+06      0.45007786E+06
             32.7355            210.7434      0.73449992E+06      0.45007756E+06
             32.8094            214.4697      0.73445909E+06      0.45005108E+06
             32.8833            218.1959      0.73445840E+06      0.45005106E+06
             32.9572            221.9222      0.73443688E+06      0.45005107E+06
             33.0311            225.6485      0.73443943E+06      0.45005104E+06
             33.1050            229.3748      0.73444260E+06      0.45005108E+06
             33.1789            233.1011      0.73444677E+06      0.45005134E+06
             33.2528            236.8274      0.73445152E+06      0.45005158E+06
             33.3267            240.5536      0.73445690E+06      0.45005180E+06
             33.4006            244.2799      0.73446256E+06      0.45005198E+06
