Fy03	Fy05	Fy08	Fy10
447.720642089844	842.744018554688	1215.1416015625	1279.37463378906
450.717651367188	823.856994628906	1226.93994140625	1303.55053710938
465.861114501953	808.933654785156	1215.09191894531	1307.05078125
466.069793701172	811.3994140625	1240.68029785156	1285.38903808594
468.310882568359	843.644836425781	1234.13525390625	1335.42663574219
474.764190673828	833.244384765625	1234.78332519531	1303.80651855469
467.415618896484	781.988159179688	1276.79431152344	1342.2939453125
475.915618896484	834.035766601562	1290.43566894531	1334.45434570312
470.380706787109	875.588806152344	1281.57348632812	1341.95971679688
455.162780761719	857.476928710938	1306.77819824219	1335.138671875
448.743133544922	865.766174316406	1312.94677734375	1334.455078125
453.529541015625	877.349487304688	1324.23547363281	1341.69921875
453.652526855469	809.847290039062	1303.73107910156	1324.10607910156
451.173522949219	866.701599121094	1280.94555664062	1389.19226074219
451.551849365234	849.105163574219	1297.4072265625	1354.59936523438
447.387237548828	863.174011230469	1281.33837890625	1377.79565429688
440.574737548828	816.009765625	1289.22998046875	1373.521484375
444.596099853516	832.898986816406	1279.9013671875	1440.82727050781
453.972564697266	856.757446289062	1274.94616699219	1403.58679199219
441.317138671875	861.532043457031	1268.59814453125	1379.158203125
445.308288574219	861.26708984375	1263.45910644531	1385.5439453125
444.142150878906	843.259399414062	1285.009765625	1392.77624511719
453.144561767578	867.069885253906	1308.47790527344	1384.35485839844
453.601684570312	835.686767578125	1305.95910644531	1385.74853515625
464.781921386719	825.797302246094	1301.10961914062	1425.39111328125
471.072814941406	856.202514648438	1334.08776855469	1405.66516113281
482.571807861328	842.673034667969	1348.94812011719	1379.11474609375
484.735870361328	853.271728515625	1369.0712890625	1388.91723632812
490.273040771484	853.344299316406	1336.44470214844	1389.25048828125
501.317413330078	854.23974609375	1306.25793457031	1355.87133789062
510.409301757812	879.993103027344	1298.89709472656	1366.76770019531
521.068481445312	871.168823242188	1315.64233398438	1362.26818847656
533.898803710938	910.527648925781	1305.43408203125	1355.49523925781
537.768249511719	880.472839355469	1307.47595214844	1363.93237304688
529.025817871094	817.550598144531	1303.8115234375	1370.78088378906
544.657348632812	835.348449707031	1326.12646484375	1408.07141113281
545.052673339844	827.129760742188	1338.21044921875	1372.14221191406
549.798522949219	841.6689453125	1348.16589355469	1355.64440917969
547.084289550781	865.105407714844	1368.46362304688	1352.05407714844
546.293395996094	850.291381835938	1337.88427734375	1376.099609375
539.180297851562	838.351318359375	1346.52514648438	1296.58996582031
539.329711914062	863.924865722656	1339.54699707031	1289.72424316406
535.805114746094	844.212707519531	1297.99169921875	1267.71228027344
540.854370117188	863.098693847656	1293.94665527344	1286.947265625
543.005065917969	859.398132324219	1260.95434570312	1328.40795898438
540.62841796875	925.632629394531	1247.99035644531	1335.44873046875
552.649658203125	908.736206054688	1299.50476074219	1295.26696777344
539.3349609375	921.126403808594	1285.46813964844	1357.7666015625
549.098937988281	945.231201171875	1331.86950683594	1323.15051269531
545.735778808594	874.206665039062	1306.15185546875	1316.041015625
541.788146972656	884.071716308594	1247.16564941406	1280.36975097656
532.33251953125	865.17041015625	1240.81567382812	1266.0869140625
519.438781738281	863.978454589844	1233.52685546875	1247.65478515625
507.555877685547	859.698120117188	1201.892578125	1192.75524902344
490.886322021484	871.509826660156	1213.98266601562	1241.15161132812
463.949676513672	874.388061523438	1202.8798828125	1299.78234863281
461.350524902344	843.627258300781	1187.70422363281	1282.86022949219
441.213134765625	848.387329101562	1184.38500976562	1293.66076660156
429.104064941406	832.109130859375	1211.03332519531	1290.81127929688
419.392822265625	791.756774902344	1235.81494140625	1283.96655273438
420.488800048828	781.977416992188	1240.88647460938	1281.71264648438
412.486999511719	825.969848632812	1259.85717773438	1286.09265136719
395.332305908203	792.724365234375	1301.30249023438	1311.41235351562
393.049987792969	850.353576660156	1311.666015625	1313.73010253906
403.01953125	830.95849609375	1318.72241210938	1301.1171875
402.0673828125	837.198791503906	1326.5908203125	1287.33032226562
409.4169921875	790.631958007812	1337.90344238281	1272.06372070312
406.347869873047	774.685546875	1285.63305664062	1289.90246582031
402.745147705078	759.113525390625	1287.29870605469	1290.42590332031
407.291076660156	750.314147949219	1245.30419921875	1293.35046386719
420.337463378906	798.821044921875	1236.88989257812	1287.31518554688
425.02490234375	758.995666503906	1201.72814941406	1283.27319335938
437.886566162109	764.993713378906	1201.13012695312	1302.01452636719
439.757965087891	745.835266113281	1184.37683105469	1282.04711914062
456.389068603516	767.756103515625	1216.13818359375	1292.650390625
462.072082519531	759.359497070312	1209.52038574219	1278.23413085938
469.870697021484	725.701293945312	1187.70080566406	1287.31604003906
476.035827636719	768.465270996094	1226.62707519531	1275.76745605469
475.644134521484	750.982666015625	1213.33715820312	1261.16528320312
484.402130126953	755.921142578125	1259.00671386719	1283.47424316406
490.119171142578	789.080200195312	1256.42565917969	1260.34033203125
494.818420410156	784.039306640625	1243.42736816406	1242.041015625
486.117401123047	789.838256835938	1204.78356933594	1239.61108398438
504.371520996094	786.788269042969	1208.94702148438	1232.76733398438
486.55712890625	747.424682617188	1248.37927246094	1241.27404785156
489.578887939453	794.705627441406	1280.4248046875	1224.85754394531
483.362365722656	769.633605957031	1254.99682617188	1249.89147949219
485.60009765625	823.147521972656	1282.4208984375	1288.1474609375
469.674072265625	782.887268066406	1284.24548339844	1294.17736816406
475.544555664062	788.820739746094	1249.8505859375	1346.77758789062
465.320770263672	793.57421875	1278.69213867188	1360.67163085938
