             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
             28.7263            320.0000      0.31546690E+06      0.97129608E+05
             28.8618            330.0000      0.31546547E+06      0.97129607E+05
             28.9973            340.0000      0.31546409E+06      0.97129584E+05
             29.1328            350.0000      0.31546688E+06      0.97129605E+05
             29.2683            360.0000      0.31546545E+06      0.97129605E+05
             29.4038             10.0000      0.31546407E+06      0.97129581E+05
             29.5393             20.0000      0.31546686E+06      0.97129603E+05
             29.6748             30.0000      0.31546544E+06      0.97129602E+05
             29.8103             40.0000      0.31546406E+06      0.97129578E+05
             29.9458             50.0000      0.31546685E+06      0.97129600E+05
             30.0813             60.0000      0.31546542E+06      0.97129600E+05
